年代,姓名,國籍,科目,事蹟
-140,托勒密,羅馬,物,地心說
1543,哥白尼,波,物,提出日心說
1572,第谷,丹,地,對火星精確觀測
1583,伽利略,義,物,擺的等時性
1590,詹森,荷,,發明光學複式顯微鏡
1593,伽利略,義,物,空氣溫度計
1600,吉爾伯特,英,物,區分電力與磁力、驗電器
1608,伽利略,義,物,製造第一個望遠鏡
1609,克卜勒,德,物,第一及第二行星運動定律
1610,伽利略,義,物,支持日心說
1610,伽利略,義,地,發現木星四個衛星
1618,克卜勒,德,物,第三行星運動定律
1621,司乃耳,荷,物,司乃耳定律
1661,波以耳,愛,,元素無法生滅、微粒學說
1662,波以耳,愛,物,波以耳定律
1663,格里克,德,物,摩擦起電機
1665,虎克,英,,發現細胞
1666,牛頓,英,物,光的散射
1676,雷文霍克,荷,,發現原生生物及細菌
1678,惠更斯,荷,物,惠更士原理
1687,牛頓,英,物,三大運動定律及萬有引力定律
1696,哈雷,英,物,發現哈雷慧星
1729,格瑞,英,物,區分導體與絕緣體
1734,篤費,法,物,摩擦起電同性相吸、異性相斥
1746,馬森布羅克,荷,物,儲電裝置（萊頓瓶）
1752,富蘭克林,美,物,風爭實驗、發明避雷針
1774,拉瓦節,法,,推翻燃素說
1774,卜利士利,英,,發現氧氣
1785,庫侖,法,物,庫侖定律
1789,拉瓦節,法,,提出元素列表
1794,道耳吞,英,,因為自己是色盲進行色盲研究
1798,卡文迪西,英,物,扭秤實驗測萬有引力常數
1798,冉福德,英,物,發現摩擦生熱
1799,普魯斯特,法,,定比定律
1801,楊氏,英,物,光的雙狹縫干涉
1802,查理,法,化,查理定律
1807,道耳吞,英,,倍比定律
1808,道耳吞,英,化,原子說
1808,給呂薩克,法,,氣體化合體積定律
1811,亞佛加厥,義,,亞佛加厥假說
1818,菲涅耳,法,物,光的繞射
1818,貝吉里斯,瑞典,,定氧原子量為100
1820,厄斯特,丹,物,電流的磁效應
1822,安培,法,物,建立電流與周遭造成磁場的關係式、右手定則
1827,布朗,英,物,布朗運動
1831,法拉弟,英,物,電磁感應
1831,布朗,英,,細胞核
1833,冷次,俄,物,冷次定律
1838,許來登,德,,細胞是植物的基本單位
1839,許旺,德,,細胞是動植物的基本單位
1840,黑斯,瑞士,,黑斯定律
1842,都卜勒,奧,物,都卜勒效應
1845,焦耳,英,物,熱功當量實驗
1848,克耳文,英,物,定絕對溫標、提出熱無法自發由冷處傳至熱處
1850,克勞修斯,德,物,熱機輸出功率必少於冷機
1850,傅科,法,物,測出水中光速小於空氣中
1855,魏修,德,,細胞來自細胞
1855,雷麥克,德,,觀察青蛙胚胎細胞分裂
1860,馬克士威,英,物,氣體分子速率分布圖
1860,廷得耳,英,,廷得耳效應
1861,馬克士威,英,物,變電生磁
1864,馬克士威,英,物,馬克士威方程式
1864,紐蘭芝,英,,八度律
1865,孟德爾,奧,,孟德爾遺傳法則
1869,門德烈夫,俄,,元素週期表
1871,波玆曼,奧,物,擁有龐大自由度的封閉系統會趨於無序
1879,弗萊明,德,,染色體
1884,阿瑞尼斯,瑞典,,阿瑞尼斯學說
1885,巴耳末,瑞士,物,找到原子光譜規律
1887,赫茲,德,物,證明電磁波存在
1888,勒沙特列,法,,勒沙特列原理
1891,漢金,德,,X染色體
1897,JJ湯木森,英,物,陰極射線、電子、荷質比
1897,霍夫曼,德,,阿斯匹靈
1898,高基,義,,高基氏體
1900,普朗克,德,物,黑體輻射
1900,克耳文,英,物,物理學兩朵烏雲
1900,摩根,美,,性聯遺傳
1902,雷納,德,物,光電效應實驗
1902,路易斯,美,,路易斯電子點式
1902,薩吞,美,,細胞染色體數目異常響胚胎、遺傳的染色體學說
1902,包法利,德,,染色體細胞中移動、遺傳的染色體學說
1904,JJ湯木森,英,物,布丁葡萄乾模型
1905,愛因斯坦,德,物,光電效應、規朗運動、狹義相對論、質能互換公式
1905,史蒂文斯,美,,Y染色體
1909,密立根,美,,油滴實驗
1909,索任生,丹,,pH值
1909,約翰森,丹,,提出基因
1910,彭內特,英,,棋盤方格法
1911,拉塞福,紐,物,α粒子散射金箔、原子核、行星模型、質子
1913,波耳,丹,物,波與粒子的互補原理
1913,波耳,丹,物,氫原子能階
1913,莫色利,英,,現今元素週期表
1916,密立根,美,物,證明愛因斯坦對於光電效應的解釋、普朗克常數
1919,阿斯頓,英,,質譜儀
1924,德布羅意,法,物,物質波
1928,弗萊明,英,,青黴素
1932,查兌克,英,物,中子
1935,湯川秀樹,日,物,強力
1939,漢恩,德,物,核分裂
1939,竇馬柯,德,,磺胺藥
1953,華生,美,,DNA構造
1953,克利克,英,,DNA構造
1959,詹頌,德,物,物質波的干涉
1959,費曼,美,,提出奈米物質
1961,IUPAC,瑞士,,定C-12原子量
1964,蓋爾曼,美,物,夸克
1991,飯島澄男,日,,奈米碳管
